50
(12, 23)
L (12, 40) 0
L (4, 49) 0
L (22, 7) 0
L (12, 43) 0
L (2, 40) 0
L (35, 11) 0
L (31, 8) 0
L (36, 37) 0
L (19, 46) 0
L (22, 16) 0
L (9, 34) 0
L (38, 26) 0
L (15, 49) 0
L (6, 15) 0
L (46, 32) 0
L (45, 30) 0
L (14, 6) 0
L (36, 40) 0
L (5, 25) 0
L (43, 9) 0
L (48, 4) 0
L (9, 48) 0
L (46, 8) 0
L (26, 20) 0
L (42, 33) 0
L (13, 25) 0
L (36, 4) 0
L (20, 37) 0
L (7, 36) 0
L (19, 47) 0
L (4, 2) 0
L (8, 11) 0
L (36, 5) 0
L (41, 48) 0
L (24, 11) 0
L (1, 12) 0
L (10, 11) 0
L (12, 37) 0
L (37, 24) 0
L (28, 48) 0
L (30, 15) 0
L (30, 27) 0
L (40, 9) 0
L (39, 19) 0
L (5, 0) 0
L (49, 3) 0
L (0, 33) 0
L (43, 44) 0
L (0, 3) 0
L (48, 6) 0
L (35, 28) 0
L (35, 42) 0
L (26, 14) 0
L (0, 9) 0
L (1, 43) 0
L (33, 48) 0
L (11, 41) 0
L (15, 9) 0
L (25, 17) 0
L (37, 11) 0
L (23, 8) 0
L (25, 26) 0
L (32, 34) 0
L (0, 45) 0
L (43, 49) 0
L (27, 8) 0
L (39, 0) 0
L (42, 44) 0
L (39, 41) 0
L (9, 39) 0
L (47, 20) 0
L (10, 26) 0
L (48, 43) 0
L (48, 41) 0
L (37, 30) 0
L (19, 11) 0
L (34, 40) 0
L (12, 26) 0
L (7, 45) 0
L (18, 21) 0
L (8, 12) 0
L (36, 2) 0
L (37, 9) 0
L (25, 32) 0
L (25, 24) 0
L (24, 20) 0
L (29, 41) 0
L (7, 46) 0
L (32, 12) 0
L (49, 14) 0
L (19, 22) 0
L (0, 21) 0
L (33, 46) 0
L (34, 1) 0
L (2, 2) 0
L (11, 10) 0
L (36, 32) 0
L (4, 13) 0
L (38, 14) 0
L (23, 35) 0
L (23, 33) 0
L (17, 34) 0
L (31, 5) 0
L (21, 22) 0
L (34, 34) 0
L (16, 8) 0
L (6, 30) 0
L (1, 44) 0
L (38, 25) 0
L (26, 11) 0
L (7, 27) 0
L (47, 5) 0
L (41, 27) 0
L (7, 2) 0
L (34, 8) 0
L (33, 35) 0
L (5, 36) 0
L (14, 14) 0
L (4, 21) 0
L (33, 22) 0
L (35, 34) 0
L (18, 26) 0
L (41, 40) 0
L (38, 10) 0
L (36, 41) 0
L (0, 22) 0
L (38, 6) 0
L (47, 34) 0
L (2, 25) 0
L (21, 43) 0
L (18, 45) 0
L (11, 8) 0
L (9, 25) 0
L (32, 11) 0
L (49, 41) 0
L (20, 7) 0
L (9, 42) 0
L (29, 2) 0
L (36, 47) 0
L (3, 27) 0
L (33, 4) 0
L (9, 6) 0
L (42, 28) 0
L (8, 49) 0
L (16, 26) 0
L (11, 25) 0
L (21, 4) 0
L (37, 43) 0
L (8, 4) 0
L (20, 24) 0
L (21, 31) 0
L (13, 47) 0
L (48, 38) 0
L (30, 2) 0
L (31, 44) 0
L (19, 23) 0
L (12, 3) 0
L (38, 29) 0
L (12, 15) 0
L (43, 3) 0
L (20, 4) 0
L (21, 37) 0
L (4, 10) 0
L (44, 39) 0
L (29, 20) 0
L (22, 5) 0
L (23, 41) 0
L (46, 0) 0
L (37, 34) 0
L (33, 9) 0
L (36, 30) 0
L (23, 17) 0
L (10, 12) 0
L (18, 24) 0
L (40, 40) 0
L (27, 14) 0
L (39, 39) 0
L (47, 2) 0
L (14, 35) 0
L (2, 32) 0
L (44, 19) 0
