50
(45, 48)
L (49, 21) 0
L (42, 24) 0
L (18, 3) 0
L (8, 11) 0
L (29, 11) 0
L (13, 16) 0
L (25, 12) 0
L (18, 32) 0
L (18, 30) 0
L (40, 33) 0
L (35, 20) 0
L (13, 11) 0
L (26, 0) 0
L (23, 1) 0
L (42, 30) 0
L (16, 2) 0
L (10, 48) 0
L (44, 37) 0
L (17, 12) 0
L (21, 21) 0
L (39, 48) 0
L (16, 44) 0
L (47, 23) 0
L (34, 27) 0
L (2, 47) 0
L (3, 2) 0
L (32, 4) 0
L (32, 0) 0
L (21, 34) 0
L (25, 30) 0
L (25, 15) 0
L (43, 34) 0
L (19, 44) 0
L (25, 17) 0
L (45, 17) 0
L (21, 30) 0
L (43, 17) 0
L (11, 40) 0
L (29, 42) 0
L (42, 49) 0
L (21, 10) 0
L (41, 4) 0
L (14, 24) 0
L (21, 35) 0
L (12, 43) 0
L (29, 7) 0
L (24, 30) 0
L (23, 39) 0
L (4, 5) 0
L (2, 39) 0
L (40, 4) 0
L (16, 6) 0
L (4, 26) 0
L (17, 7) 0
L (45, 4) 0
L (19, 48) 0
L (4, 33) 0
L (25, 36) 0
L (0, 46) 0
L (49, 17) 0
L (47, 10) 0
L (22, 48) 0
L (21, 15) 0
L (11, 43) 0
L (13, 34) 0
L (6, 9) 0
L (41, 6) 0
L (3, 37) 0
L (38, 4) 0
L (0, 23) 0
L (47, 18) 0
L (12, 22) 0
L (47, 42) 0
L (0, 36) 0
L (35, 43) 0
L (11, 33) 0
L (39, 31) 0
L (41, 12) 0
L (46, 31) 0
L (11, 15) 0
L (7, 19) 0
L (46, 18) 0
L (1, 47) 0
L (1, 36) 0
L (22, 25) 0
L (0, 24) 0
L (35, 42) 0
L (27, 38) 0
L (9, 47) 0
L (48, 28) 0
L (47, 44) 0
L (32, 42) 0
L (17, 19) 0
L (36, 19) 0
L (15, 23) 0
L (47, 22) 0
L (27, 2) 0
L (18, 41) 0
L (3, 23) 0
L (47, 38) 0
L (35, 32) 0
L (10, 28) 0
L (8, 24) 0
L (36, 7) 0
L (24, 47) 0
L (12, 3) 0
L (24, 22) 0
L (37, 30) 0
L (42, 3) 0
L (43, 11) 0
L (40, 34) 0
L (48, 37) 0
L (20, 18) 0
L (28, 48) 0
L (43, 13) 0
L (22, 11) 0
L (49, 41) 0
L (38, 7) 0
L (17, 38) 0
L (45, 24) 0
L (0, 10) 0
L (36, 22) 0
L (42, 2) 0
L (20, 27) 0
L (6, 5) 0
L (15, 38) 0
L (40, 28) 0
L (46, 9) 0
L (4, 30) 0
L (23, 22) 0
L (20, 5) 0
L (39, 40) 0
L (46, 29) 0
L (12, 47) 0
L (40, 6) 0
L (44, 30) 0
L (34, 18) 0
L (43, 41) 0
L (5, 6) 0
L (32, 10) 0
L (9, 2) 0
L (1, 28) 0
L (0, 2) 0
L (47, 36) 0
L (44, 5) 0
L (48, 20) 0
L (47, 7) 0
L (16, 13) 0
L (37, 36) 0
L (15, 22) 0
L (6, 27) 0
L (1, 17) 0
L (32, 2) 0
L (11, 17) 0
L (26, 23) 0
L (33, 10) 0
L (14, 0) 0
L (3, 44) 0
L (4, 4) 0
L (5, 26) 0
L (38, 16) 0
L (44, 1) 0
L (22, 33) 0
L (20, 40) 0
L (42, 14) 0
L (15, 12) 0
L (5, 29) 0
L (8, 45) 0
L (30, 20) 0
L (36, 0) 0
L (24, 15) 0
L (18, 7) 0
L (4, 2) 0
L (34, 22) 0
L (38, 43) 0
L (22, 16) 0
L (48, 9) 0
L (35, 12) 0
L (4, 37) 0
L (22, 39) 0
L (34, 14) 0
L (14, 9) 0
L (26, 1) 0
L (27, 6) 0
L (9, 15) 0
L (12, 12) 0
L (6, 19) 0
L (21, 4) 0
L (30, 46) 0
L (39, 6) 0
L (26, 27) 0
L (22, 49) 0
L (34, 24) 0
L (49, 8) 0
L (32, 3) 0
L (43, 20) 0
L (0, 18) 0
L (47, 29) 0
L (5, 30) 0
L (29, 26) 0
L (39, 35) 0
L (28, 49) 0
L (9, 11) 0
L (38, 33) 0
L (22, 3) 0
L (29, 41) 0
L (37, 16) 0
L (21, 13) 0
L (36, 9) 0
L (36, 32) 0
L (7, 42) 0
L (32, 33) 0
L (47, 31) 0
L (39, 3) 0
L (47, 8) 0
L (43, 15) 0
L (37, 6) 0
L (17, 1) 0
L (39, 28) 0
L (33, 40) 0
L (36, 4) 0
L (1, 6) 0
L (48, 35) 0
L (11, 36) 0
L (25, 0) 0
L (41, 10) 0
L (28, 2) 0
L (10, 21) 0
L (33, 4) 0
L (1, 5) 0
L (31, 44) 0
L (7, 0) 0
L (16, 48) 0
L (3, 43) 0
L (48, 27) 0
L (12, 24) 0
L (25, 45) 0
L (5, 15) 0
L (35, 26) 0
L (47, 12) 0
L (33, 33) 0
L (22, 15) 0
L (31, 28) 0
L (19, 45) 0
L (39, 10) 0
L (45, 10) 0
L (42, 1) 0
L (16, 38) 0
L (40, 49) 0
L (34, 36) 0
L (10, 44) 0
L (1, 15) 0
L (41, 14) 0
L (13, 9) 0
L (15, 33) 0
L (43, 35) 0
L (5, 32) 0
L (43, 33) 0
L (3, 0) 0
L (32, 22) 0
L (9, 7) 0
L (3, 46) 0
L (37, 43) 0
L (46, 30) 0
L (32, 8) 0
L (48, 5) 0
L (23, 2) 0
L (21, 1) 0
L (24, 7) 0
L (13, 15) 0
L (31, 37) 0
L (13, 37) 0
L (43, 18) 0
L (33, 32) 0
L (32, 9) 0
L (24, 40) 0
L (33, 30) 0
L (39, 18) 0
L (25, 40) 0
L (42, 42) 0
L (43, 25) 0
L (19, 38) 0
L (44, 21) 0
L (32, 36) 0
L (7, 20) 0
L (14, 32) 0
L (27, 14) 0
L (2, 18) 0
L (23, 40) 0
L (40, 43) 0
L (23, 12) 0
L (41, 30) 0
L (19, 29) 0
L (37, 45) 0
L (19, 28) 0
L (4, 44) 0
L (25, 7) 0
L (8, 8) 0
L (5, 2) 0
L (49, 31) 0
L (45, 49) 1
L (46, 26) 1
L (41, 27) 1
L (42, 15) 1
L (39, 16) 1
L (40, 11) 1
L (31, 12) 1
L (32, 5) 1
L (22, 4) 1
L (23, 9) 1
L (15, 10) 1
L (16, 3) 1
L (13, 2) 1
L (12, 8) 1
L (31, 3) 1
B (22, 5) 0 0
S (22, 8) 0
L (19, 7) 3
B (19, 8) 0 1
B (20, 7) 0 1
L (20, 26) 1
L (7, 25) 1
L (6, 41) 1
L (17, 40) 1
L (16, 46) 1
L (28, 47) 1
L (27, 13) 1
L (37, 8) 1
L (45, 9) 1
L (44, 6) 1
L (32, 28) 1
L (32, 27) 1
L (26, 34) 1
L (36, 33) 1
L (37, 48) 1
L (29, 49) 1
L (27, 25) 1
