50
(48, 11)
L (30, 31) 0
L (6, 38) 0
L (6, 36) 0
L (9, 13) 0
L (12, 48) 0
L (49, 47) 0
L (8, 25) 0
L (31, 41) 0
L (11, 17) 0
L (1, 21) 0
L (29, 43) 0
L (30, 41) 0
L (17, 46) 0
L (17, 19) 0
L (49, 14) 0
L (42, 7) 0
L (5, 21) 0
L (49, 36) 0
L (1, 44) 0
L (16, 45) 0
L (40, 8) 0
L (45, 13) 0
L (14, 24) 0
L (17, 41) 0
L (41, 47) 0
L (44, 19) 0
L (27, 30) 0
L (43, 48) 0
L (48, 33) 0
L (41, 46) 0
L (29, 10) 0
L (45, 32) 0
L (36, 46) 0
L (22, 30) 0
L (18, 38) 0
L (13, 17) 0
L (4, 19) 0
L (0, 43) 0
L (49, 20) 0
L (23, 48) 0
L (35, 34) 0
L (43, 39) 0
L (5, 19) 0
L (7, 25) 0
L (24, 30) 0
L (48, 38) 0
L (24, 2) 0
L (47, 33) 0
L (44, 1) 0
L (22, 44) 0
L (24, 3) 0
L (34, 37) 0
L (32, 35) 0
L (48, 31) 0
L (44, 15) 0
L (44, 37) 0
L (35, 26) 0
L (47, 18) 0
L (37, 9) 0
L (30, 26) 0
L (15, 31) 0
L (34, 4) 0
L (17, 9) 0
L (23, 27) 0
L (8, 46) 0
L (14, 7) 0
L (20, 11) 0
L (44, 32) 0
L (10, 49) 0
L (42, 16) 0
L (32, 0) 0
L (11, 12) 0
L (16, 11) 0
L (48, 26) 0
L (26, 22) 0
L (41, 12) 0
L (17, 48) 0
L (28, 49) 0
L (47, 4) 0
L (8, 4) 0
L (33, 44) 0
L (12, 11) 0
L (39, 5) 0
L (37, 11) 0
L (8, 3) 0
L (23, 3) 0
L (9, 35) 0
L (26, 20) 0
L (7, 1) 0
L (48, 13) 0
L (43, 23) 0
L (13, 14) 0
L (12, 17) 0
L (21, 3) 0
L (17, 12) 0
L (41, 40) 0
L (0, 34) 0
L (4, 15) 0
L (45, 44) 0
L (1, 38) 0
L (18, 40) 0
L (33, 11) 0
L (5, 23) 0
L (19, 37) 0
L (36, 5) 0
L (18, 21) 0
L (24, 38) 0
L (5, 12) 0
L (44, 9) 0
L (22, 21) 0
L (26, 30) 0
L (34, 45) 0
L (4, 13) 0
L (10, 22) 0
L (47, 6) 0
L (17, 14) 0
L (36, 19) 0
L (18, 49) 0
L (21, 13) 0
L (4, 34) 0
L (4, 42) 0
L (24, 4) 0
L (11, 31) 0
L (31, 31) 0
L (32, 3) 0
L (27, 0) 0
L (36, 41) 0
L (46, 23) 0
L (19, 10) 0
L (29, 31) 0
L (19, 0) 0
L (19, 24) 0
L (23, 15) 0
L (9, 17) 0
L (23, 43) 0
